,itemID,title,author,publisher,main topic,subtopics,sessionID,click,basket,order,total_basket,lang,cluster
0,21310,Princess Poppy: The Big Mix Up,Janey Louise Jones,Penguin Random House Children's UK,YFB,[5AH],0.0,1.0,0.0,0.0,3,en,0
1,73018,Einfach zeichnen! Step by Step,Wiebke Krabbe,Schwager und Steinlein,AGZ,"[5AJ,AGZ,WFA,YBG,YBL,YNA,YPA]",1.0,1.0,0.0,0.0,59,de,7
2,19194,Red Queen 1,Victoria Aveyard,Orion Publishing Group,YFH,"[5AP,FBA]",2.0,1.0,0.0,0.0,204,en,18
3,1878,Red Queen 1,Victoria Aveyard,Harper Collins Publ. USA,YFCB,"[5AP,YFE,YFH]",2446.0,3.0,0.0,0.0,204,en,18
4,40250,Meine Kindergarten-Freunde (Pirat),,Ars Edition GmbH,YB,"[5AC,5AD,YBG,YBL,YF]",3.0,1.0,0.0,0.0,339,de,17
5,46107,Mein großes Schablonen-Buch - Wilde Tiere,Elizabeth Golding,Edition Michael Fischer,WFTM,"[WD,WFTM,YBG,YBL,YBLD,YBLN1]",4.0,1.0,0.0,0.0,25,de,0
6,34217,Ewig geliebt,J. R. Ward,Heyne Taschenbuch,FMR,"[1KBB-US-NAK,FMX,FRX,3MRBF]",5.0,1.0,0.0,0.0,93,af,7
7,31436,Meine Sticker-Tiere,,Ars Edition GmbH,YBG,"[5AD,YBG,YBLL]",6.0,1.0,0.0,0.0,28,de,0
8,14576,Unsterblich 01 - Tor der Dämmerung,Julie Kagawa,Heyne Taschenbuch,YFE,"[5AQ,FM,YFE,YFH]",7.0,1.0,1.0,0.0,31,de,2
9,17731,Unsterblich 02 - Tor der Nacht,Julie Kagawa,Heyne Taschenbuch,YFH,"[5AQ,FM,YFE,YFH]",7.0,2.0,1.0,0.0,18,de,2
10,58723,Pedro und die Bettler von Cartagena,Ursula Hasler,dtv Verlagsgesellschaft,YFB,"[5AM,1KLSC]",8.0,1.0,0.0,0.0,12,de,0
11,73124,Freundebuch - Einhorn-Paradies - Meine Freunde,,Coppenrath F,YZG,"[5JA,YBG,YBL,YFH,YZS]",9.0,1.0,0.0,0.0,521,de,13
12,19843,Freundebuch - Einhorn-Paradies - Meine Freunde,,Coppenrath F,YBL,"[5JA,YBG,YFH,YZS]",518.0,2.0,1.0,0.0,521,de,13
13,33976,Die Haushörerin,Anna Lummfeld,Books on Demand,FMR,"[1DFG-DE-VH,FMR,FMX,FRD]",10.0,1.0,0.0,0.0,8,de,10
14,2408,Reiter der schwarzen Sonne,Swen Harder,Mantikore Verlag,FMB,"[5AN,WDHW]",11.0,2.0,0.0,0.0,11,de,5
15,30277,WAS IST WAS Quiz Autos,Lorena Lehnert,Tessloff Verlag,YNV,"[5AJ,YBL]",12.0,1.0,0.0,0.0,6,de,2
16,29508,WAS IST WAS Quiz Länder der Welt,Carolin Langbein,Tessloff Verlag,YNV,"[5AJ,YBL]",12.0,1.0,1.0,0.0,8,de,2
17,75659,WAS IST WAS Quiz Fußball,Lorena Lehnert,Tessloff Verlag,YNWD1,"[5AJ,2ACG,SFBC,WDKX,YBL,YNVP,YZG]",12.0,1.0,0.0,0.0,4,de,2
18,55699,Spring in eine Pfütze! Mein perfekter Frühling/ Mein perfekter Sommer. Wendebuch,ViktoriaSarina,CE Community Editions,YNVP,"[YBG,YBL,YNVP,YZS]",13.0,2.0,0.0,0.0,836,de,9
19,62433,Und dann kamst du,Heike Abidi,Oetinger Taschenbuch GmbH,YXHL,"[5AQ,5JA,DND,YFM,YXHL]",13.0,1.0,0.0,0.0,6,id,2
20,72603,"Ich hab einen Freund, der ist Astronaut",Ralf Butschkow,Carlsen Verlag GmbH,YBCS,"[5AC,4CA,YBL,YF,YNK,YNMH,YNNZ,YNTR]",13.0,1.0,0.0,0.0,17,de,3
21,11989,Vampire Academy 06,Richelle Mead,LYX,FMR,"[5AQ,FMB,FMR,FMX,FRT]",14.0,1.0,0.0,0.0,7,pt,4
22,11117,Vampire Academy - Schattenträume,Richelle Mead,LYX,FMR,"[5AQ,FMR,FMX,FRD,FRT]",14.0,1.0,0.0,0.0,11,de,8
23,73865,Wir spielen Kasperltheater,Peter Mitschitczek,Perlen-Reihe,ATDH,"[5AC,WDM,YBL,YND]",15.0,0.0,0.0,1.0,2,en,8
24,15581,Der Herr der Ringe,J. R. R. Tolkien,Klett-Cotta Verlag,FMB,"[FYT,YFH]",16.0,0.0,1.0,0.0,2066,de,16
25,54097,Der Herr der Ringe,J. R. R. Tolkien,Klett-Cotta Verlag,FBC,"[FBC,FMB,FYT]",329.0,0.0,1.0,0.0,2066,de,16
26,45332,Der Herr der Ringe,John Ronald Reuel Tolkien,Klett-Cotta Verlag,FMB,"[FB,FYT,YFH]",449.0,1.0,0.0,0.0,2066,de,16
27,77619,Der Herr der Ringe,John R Tolkien,Klett-Cotta Verlag,FMB,"[FYT,YFH]",718.0,1.0,0.0,0.0,2066,de,16
28,14442,Der Herr der Ringe,J.R.R. Tolkien,Klett-Cotta Verlag,FMB,[FYT],1230.0,1.0,0.0,0.0,2066,de,16
29,24211,Der Herr der Ringe,J. R. R. Tolkien,Klett-Cotta Verlag,FYT,"[FMB,FYT]",9290.0,2.0,0.0,0.0,2066,de,16
30,4892,Harry Potter 4 and the Goblet of Fire,Joanne K. Rowling,Bloomsbury UK,YFH,[5AK],17.0,1.0,0.0,0.0,206,en,17
31,34732,Harry Potter 4 and the Goblet of Fire,Joanne K. Rowling,Bloomsbury UK,YFH,"[5AK,5AL,FBA,FM,YFB]",1152.0,1.0,0.0,0.0,206,en,17
32,44815,Covet,Tracy Wolff,ENTANGLED PUB,YFHR,[],18.0,1.0,0.0,0.0,75,no,15
33,63847,A Vow So Bold and Deadly,Brigid Kemmerer,Bloomsbury UK,YFHR,[YFM],19.0,1.0,0.0,0.0,111,en,1
34,3106,Kiss Me Never (Crushed-Trust-Reihe 1),Lana Rotaru,Carlsen Verlag GmbH,FRD,"[5AQ,5AX,5JA,5LKE,1KBB,FRM,YFM]",20.0,2.0,0.0,0.0,43,en,7
35,4283,Hold Me Tonight (Crushed-Trust-Reihe 2),Lana Rotaru,Carlsen Verlag GmbH,FRD,"[5AQ,5AX,5JA,5LKE,1KBB,FRM,YFM]",20.0,1.0,0.0,0.0,17,en,7
36,63166,Fingerstempel-Spaß Kunterbunt,,Ars Edition GmbH,YBLD,"[5AD,YBG,YBLD]",21.0,1.0,0.0,0.0,422,de,13
37,44220,Fingerstempel-Spaß Tiere,,Ars Edition GmbH,YBG,"[5AD,YBG,YBLD,YBLL]",21.0,1.0,0.0,0.0,1687,de,16
38,54393,Picklewitch & Jack and the Cuckoo Cousin,Claire Barker,Faber & Faber,YFH,"[5AF,YFQ,YFS]",22.0,1.0,0.0,0.0,4,en,0
39,64544,Spiele-Klassiker Gummitwist-Set,Birgit Fuchs,moses. Verlag GmbH,YBL,[],23.0,1.0,0.0,0.0,270,de,17
40,55796,Freundebuch - Handlettering - Meine Freunde,,Coppenrath F,YBG,"[5JA,WFU,YBG,YBL,YZS]",24.0,1.0,0.0,0.0,293,de,17
41,6942,Mein Wisch-und-weg-Buch: Großbuchstaben,Jessica Greenwell,Usborne Verlag,YBG,"[5AF,YBL]",25.0,1.0,0.0,0.0,118,de,18
42,23197,Nichts,Janne Teller,dtv Verlagsgesellschaft,YFS,"[5AQ,1DND,YFB,YFS]",26.0,1.0,1.0,0.0,233,de,17
43,2417,A Court of Thorns and Roses. Acotar Adult Edition,Sarah J. Maas,Bloomsbury UK,YFH,[FMR],27.0,1.0,0.0,0.0,383,en,13
44,57800,Das Schwert der Vorsehung,Andrzej Sapkowski,dtv Verlagsgesellschaft,ATFN,"[ATFN,FJ,FM,FYB,FYT]",28.0,0.0,1.0,0.0,246,de,12
